,msm_bin,msm_geom,em_bin,em_geom,exceptions
BAC,1,1,0,0,"(array([   0,    1,    2, ..., 2260, 2261, 2264]),)"
BAX,1,1,0,1,"(array([   3,    7,    8, ..., 2259, 2260, 2264]),)"
BDX,0,1,0,1,"(array([   1,    3,    7, ..., 2259, 2262, 2264]),)"
BBY,0,1,0,1,"(array([   0,    1,    2, ..., 2260, 2263, 2264]),)"
TECH,1,1,1,1,"(array([   1,    3,    6, ..., 2257, 2258, 2264]),)"
BIIB,1,1,1,1,"(array([   0,    1,    3, ..., 2259, 2260, 2264]),)"
BLK,0,1,0,1,"(array([   0,    3,    6, ..., 2259, 2261, 2264]),)"
BX,1,1,0,1,"(array([   1,    2,    4, ..., 2258, 2260, 2261]),)"
BK,1,1,1,0,"(array([   0,    1,    3, ..., 2255, 2261, 2264]),)"
BA,0,1,0,1,"(array([   0,    1,    2, ..., 2257, 2259, 2262]),)"
BKNG,1,1,1,1,"(array([   1,    3,    4, ..., 2260, 2261, 2262]),)"
BWA,0,1,0,1,"(array([   1,    3,    6, ..., 2255, 2256, 2259]),)"
BSX,0,1,1,1,"(array([   1,    3,    6, ..., 2258, 2260, 2264]),)"
BMY,1,1,1,1,"(array([   0,    1,    8, ..., 2261, 2262, 2264]),)"
AVGO,1,1,1,1,"(array([   2,    4,    6, ..., 2259, 2260, 2264]),)"
BR,1,1,0,1,"(array([   1,    3,    4, ..., 2260, 2262, 2264]),)"
BRO,0,1,1,1,"(array([   1,    3,    4, ..., 2261, 2263, 2264]),)"
BLDR,1,0,1,1,"(array([   0,    1,    6, ..., 2259, 2260, 2262]),)"
BG,1,1,1,1,"(array([   0,    2,    3, ..., 2260, 2261, 2264]),)"
BXP,0,1,1,1,"(array([   1,    3,    8, ..., 2261, 2262, 2264]),)"
CHRW,1,1,1,1,"(array([   0,    1,    6, ..., 2261, 2262, 2264]),)"
CDNS,1,1,1,1,"(array([   1,    4,    6, ..., 2259, 2261, 2262]),)"
CPT,0,1,0,1,"(array([   1,    3,    5, ..., 2262, 2263, 2264]),)"
CPB,0,1,1,1,"(array([   0,    3,    4, ..., 2260, 2262, 2264]),)"
COF,1,0,1,1,"(array([   0,    1,    3, ..., 2260, 2261, 2264]),)"
CAH,1,1,1,1,"(array([   1,    3,    4, ..., 2260, 2262, 2264]),)"
KMX,0,1,1,1,"(array([   1,    3,    6, ..., 2257, 2261, 2264]),)"
CCL,1,1,0,1,"(array([   0,    1,    2, ..., 2258, 2259, 2261]),)"
CAT,0,1,1,1,"(array([   1,    3,    5, ..., 2261, 2262, 2264]),)"
CBRE,1,1,1,0,"(array([   1,    3,    4, ..., 2261, 2263, 2264]),)"
CE,0,1,0,1,"(array([   0,    1,    3, ..., 2260, 2262, 2264]),)"
COR,0,1,1,1,"(array([   1,    3,    4, ..., 2257, 2258, 2264]),)"
CNC,1,1,1,1,"(array([   1,    4,    5, ..., 2260, 2261, 2262]),)"
CNP,0,1,0,1,"(array([   1,    2,    5, ..., 2260, 2261, 2264]),)"
CF,0,1,0,1,"(array([   1,    3,    4, ..., 2260, 2261, 2264]),)"
CRL,1,1,1,0,"(array([   1,    2,    3, ..., 2261, 2262, 2264]),)"
SCHW,0,1,0,1,"(array([   1,    3,    6, ..., 2251, 2252, 2259]),)"
CVX,1,1,1,1,"(array([   1,    5,    7, ..., 2260, 2261, 2264]),)"
CMG,1,1,1,1,"(array([   1,    4,    9, ..., 2260, 2261, 2264]),)"
CB,0,1,0,1,"(array([   7,    8,    9, ..., 2261, 2262, 2264]),)"
CHD,0,1,1,1,"(array([   1,    3,    6, ..., 2260, 2261, 2262]),)"
CI,1,1,1,0,"(array([   0,    1,    3, ..., 2259, 2261, 2264]),)"
CINF,1,1,1,1,"(array([   1,    3,    6, ..., 2262, 2263, 2264]),)"
CTAS,1,1,1,1,"(array([   1,    3,    6, ..., 2258, 2262, 2264]),)"
CSCO,1,1,1,1,"(array([   1,    2,    3, ..., 2259, 2261, 2264]),)"
C,1,1,0,1,"(array([   1,    3,    7, ..., 2259, 2261, 2264]),)"
CLX,1,1,1,1,"(array([   3,    4,    6, ..., 2261, 2262, 2264]),)"
CME,0,1,0,1,"(array([   2,    4,    6, ..., 2261, 2262, 2264]),)"
CMS,0,1,0,1,"(array([   1,    2,    5, ..., 2262, 2263, 2264]),)"
KO,1,1,0,1,"(array([   0,    6,    8, ..., 2261, 2262, 2264]),)"
