,msm_bin,msm_geom,em_bin,em_geom
MTB,0,1,0,1
MKTX,1,1,1,1
MAR,0,1,0,0
MMC,0,1,0,1
MLM,1,1,1,1
MAS,1,1,0,1
MA,1,1,1,1
MTCH,1,1,1,1
MKC,0,1,0,1
MCD,1,1,1,1
MCK,0,1,1,1
MDT,1,1,1,1
MRK,1,1,1,1
MET,0,1,0,0
MTD,0,1,0,1
MGM,0,1,0,1
MCHP,1,1,1,1
MU,0,1,0,1
MSFT,0,1,0,1
MAA,1,1,1,0
MHK,0,1,0,1
MOH,0,1,0,1
TAP,1,1,1,1
MDLZ,1,1,1,1
MPWR,0,1,0,1
MNST,1,1,1,1
MCO,0,1,0,0
MS,1,1,0,1
MOS,1,0,0,0
MSI,1,1,1,1
MSCI,1,1,1,1
NDAQ,1,1,1,0
NTAP,1,0,0,1
NFLX,1,1,1,1
NEM,0,1,0,1
NEE,0,1,0,1
NKE,0,1,1,0
NI,0,1,1,0
NDSN,0,1,1,0
NSC,0,1,0,1
NTRS,0,1,0,1
NOC,1,1,1,0
NRG,0,1,0,1
NUE,0,1,0,1
NVDA,0,1,0,1
NVR,1,1,1,1
ORLY,1,1,1,1
OXY,1,1,1,0
ODFL,0,1,0,1
OMC,0,1,0,1
